DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1979Q1,10.07,9.38,10.3,9.18,9.11,74.83,74.37,69.2,40.31,357.03,4137.2,1376.17,5.87,51.67,5821,5774.1,42.318,111.7
1979Q2,10.18,9.38,9.94,9.11,9.11,77.47,76.2,71.4,41.19,368.47,4235.3,1411.2,5.7,51.58,5826.4,5823.7,43.362,114.6
1979Q3,10.95,9.67,10.15,9.12,9.1,79.9,78.37,73.7,41.95,378.6,4335.5,1446.03,5.87,51.42,5868.3,5870.9,44.301,118.5
1979Q4,13.58,11.84,12.27,10.66,10.45,82.7,81.33,76.03,42.82,386.73,4400,1469.67,5.97,51.61,5884.5,5915.2,45.194,121.8
1980Q1,15.05,13.35,13.93,12.27,11.99,86.53,84.5,79.03,43.87,384.47,4477.1,1489.9,6.3,51.81,5903.4,5954,46.144,122.5
1980Q2,12.69,9.62,10.28,10.33,10.48,88.27,86.7,81.7,44.85,383.93,4543.7,1513.1,7.33,49.65,5782.4,5986.7,47.178,125.1
1980Q3,9.84,9.15,10.14,10.66,10.95,91.17,89.5,83.23,45.84,399.2,4681,1560.97,7.67,48.85,5771.7,6017.5,48.256,129.2
1980Q4,15.85,13.61,13.84,12.65,12.42,93.27,91.33,85.57,46.96,415.33,4780.4,1597.43,7.4,50.73,5878.4,6047.7,49.593,133.3
1981Q1,16.57,14.39,14.12,13.2,12.96,96.1,93.7,87.93,48,411.37,4862.2,1618.1,7.43,50.85,6000.6,6079.4,50.851,133.1
1981Q2,17.78,14.91,15.13,14.19,13.75,98.27,96.07,89.77,48.9,424.1,4993.7,1662.33,7.4,51.02,5952.7,6115.2,51.813,136.2
1981Q3,17.58,15.05,16.32,15.43,14.85,98.93,96.9,92.27,49.8,426.87,5082.2,1695.37,7.4,51.5,6025,6153.1,52.73,139
1981Q4,13.59,11.75,13.55,14.13,14.09,98.83,97.93,93.77,50.67,437.27,5213.4,1742.57,8.23,50.36,5950,6193.3,53.692,141.6
1982Q1,14.23,12.81,14.33,14.39,14.29,99.7,98.83,94.6,51.41,438.8,5331.4,1773.27,8.83,49.33,5852.3,6238.9,54.421,142.1
