Date,Open,High,Low,Close,Volume,Adj Close
2/11/15,209.520004,211.809998,209.369995,211.600006,4298000,210.201272
30/10/15,210.259995,210.610001,208.929993,209.050003,3971300,207.668125
29/10/15,209.539993,210.440002,209.389999,210,3383000,208.611842
28/10/15,208.190002,210.139999,207.389999,210.110001,4517700,208.721116
27/10/15,207.330002,208.169998,206.949997,207.779999,4240700,206.406516
26/10/15,208.490005,208.529999,207.75,208.179993,3308800,206.803866
23/10/15,208.470001,209.110001,207.470001,208.660004,4272700,207.280704
22/10/15,204.149994,206.649994,203.960007,206.339996,4176600,204.976032
21/10/15,204.800003,205.020004,202.779999,203,5138300,201.658114
20/10/15,204.050003,204.979996,203.699997,204.190002,2440200,202.840251
19/10/15,203.660004,204.509995,203.279999,204.490005,3960000,203.13827
16/10/15,203.949997,204.410004,203.050003,204.330002,3678900,202.979324
15/10/15,201.270004,203.470001,200.759995,203.429993,3016700,202.085265
14/10/15,201.320007,202,200.070007,200.360001,2526300,199.035566
13/10/15,201.759995,203.279999,201.179993,201.369995,3841600,200.038884
12/10/15,202.550003,202.869995,202.039993,202.679993,2128900,201.340222
9/10/15,202.630005,203.029999,201.729996,202.5,3299600,201.161419
8/10/15,199.979996,202.669998,199.699997,202.350006,5945300,201.012417
7/10/15,200.050003,200.929993,198.589996,200.509995,4975200,199.184568
6/10/15,199.419998,200.080002,198.089996,198.869995,4451000,197.55541
5/10/15,197.539993,199.839996,197.429993,199.619995,4802800,198.300452
2/10/15,190.800003,196.070007,190.190002,196.070007,4667800,194.773931
1/10/15,193.139999,193.529999,190.880005,193.240005,6009700,191.962636
30/9/15,191.490005,192.880005,190.490005,192.720001,7919900,191.446069
29/9/15,189.300003,190.770004,187.970001,189.050003,9002500,187.800331
28/9/15,192.850006,192.949997,188.710007,189.009995,11841600,187.760587
25/9/15,195.800003,196.089996,192.880005,193.850006,7237900,192.568604
24/9/15,194.320007,195.589996,192.690002,195.059998,6846100,192.695752
23/9/15,196.259995,196.830002,195.080002,195.759995,4726600,193.387265
22/9/15,195.979996,196.639999,194.740005,196.089996,4986300,193.713267
21/9/15,198.619995,199.869995,197.399994,198.589996,4907900,196.182966
