date,spx,nky,ukx,as51
1987-01-02,246.449997,18821,1681.099976,1486.900024
1987-01-05,252.190002,18821,1680,1503.099976
1987-01-06,252.779999,18937,1690.699951,1523.099976
1987-01-07,255.330002,18842,1722.199951,1534.099976
1987-01-08,257.279999,18779,1733.099976,1529.599976
1987-01-09,258.730011,18810,1752.300049,1535.599976
1987-01-12,260.299988,18669,1755.599976,1549.699951
1987-01-13,259.950012,18544,1763.300049,1553.599976
1987-01-14,262.640015,18784,1765.199951,1526
1987-01-15,265.48999,18784,1789,1540.199951
1987-01-16,266.279999,19150,1789,1531.699951
1987-01-19,269.339996,19189,1778.400024,1528.5
1987-01-20,269.040009,19216,1778.900024,1534.099976
1987-01-21,267.839996,19429,1761.599976,1528.199951
1987-01-22,273.910004,19381,1777.5,1534.699951
1987-01-23,270.100006,19457,1795.300049,1539.599976
1987-01-26,269.609985,19555,1781.800049,1539.599976
1987-01-27,273.75,19687,1814.400024,1533.5
1987-01-28,275.399994,19790,1812.099976,1527.5
1987-01-29,274.23999,19921,1798.099976,1513.900024
1987-01-30,274.079987,20048,1808.300049,1496.300049
1987-02-02,276.450012,20072,1832.800049,1486.699951
1987-02-03,275.98999,19956,1828.599976,1502.5
1987-02-04,279.640015,19974,1846.699951,1512.900024
1987-02-05,281.160004,19795,1866.099976,1533.400024
1987-02-06,280.040009,19669,1898.400024,1539.199951
1987-02-09,278.160004,19679,1910.699951,1554.699951
1987-02-10,275.070007,19814,1874.900024,1553.699951
1987-02-11,277.540009,19814,1895.800049,1559.900024
1987-02-12,275.619995,19875,1878.599976,1574.800049
1987-02-13,279.700012,19629,1898.099976,1575.800049
1987-02-17,285.48999,19638,1942,1573.199951
1987-02-18,285.420013,19882,1952,1578.699951
1987-02-19,285.570007,20228,1930.099976,1589.599976
1987-02-20,285.480011,20080,1961.5,1605.300049
