"Index","Mkt.RF","SMB","HML","RF","RFJ","JPY.r","Mkt.RFJ","SMBJ","HMLJ"
"1999-05-31",-0.0532,-0.0019,-0.0119,0.0034,0.0000716384335668341,-0.0119953673064196,-0.0383352572898006,-0.00192306790588629,-0.0120444779368668
"1999-06-30",0.1047,0.0963,-0.0601,0.004,0.000200611837149145,-0.000496113775425799,0.109049702524201,0.0963477994705493,-0.060129831237591
"1999-07-31",0.0994,-0.0401,0.0054,0.0038,0.000170673031093083,0.0544027898866608,0.0461088043957301,-0.0380310071109641,0.00512138250372085
"1999-08-31",0.028,0.016,0.0004,0.0039,0.000118256387853233,0.049405306495883,-0.0167994246528925,0.0152467306015693,0.000381168265039233
"1999-09-30",0.0682,-0.0233,-0.0389,0.0039,0.00011243045060394,0.0232166260999811,0.0476617872987102,-0.0227713266239707,-0.0380173650503202
"1999-10-31",0.0621,-0.0545,-0.0571,0.0039,0.000105771779452368,0.024259277016013,0.0406463345676737,-0.0532091836734694,-0.0557476034450477
"1999-11-30",0.0724,-0.0525,-0.1425,0.0036,0.000159859372473203,0.0244597249508842,0.0501498539269802,-0.0512465241154473,-0.139097708313357
"1999-12-31",0.0361,-0.0791,-0.0824,0.0044,0.000153204174030863,-0.00352388410336724,0.0440263636059297,-0.0793797249508841,-0.082691394891945
"2000-01-31",-0.0536,0.0164,0.0632,0.0041,0.000159859372473203,-0.048169197801174,-0.00155800933331895,0.0172299530148786,0.0663983555207518
"2000-02-29",-0.0172,0.0274,-0.0786,0.0043,0.000159859372473203,-0.0232071350564251,0.0103921577709163,0.028050982949781,-0.0804674182428026
"2000-03-31",0.061,0.0086,0.0603,0.0047,0.000213083430857353,0.0695999221259611,-0.00385923377668917,0.00804038951583546,0.0563762195121951
"2000-04-30",-0.0909,-0.0317,0.0244,0.0046,0.00019811731312247,-0.0486201148360808,-0.0398036269013635,-0.0333200233622116,0.0256469580453616
"2000-05-31",-0.0755,0.0483,0.1005,0.005,0.000174831788141594,0.00222758492667552,-0.0727407699248337,0.0481926467864419,0.100276625300982
"2000-06-30",0.0592,0.0199,0.0611,0.004,0.000262952707112074,0.0150744299981156,0.0471479253326132,0.0196044737330611,0.0601926304065343
"2000-07-31",-0.1228,-0.0092,0.0449,0.0048,0.000243008278470569,-0.0322757111597374,-0.0888263887193977,-0.00950684002261164,0.0463975127190503
"2000-08-31",0.0646,0.0148,-0.0351,0.005,0.000390825476227707,0.0283142696418526,0.0397581169015986,0.0143924872355945,-0.034133533916849
"2000-09-30",-0.0482,-0.0314,0.0605,0.0051,0.000414885308843926,-0.0114921223354959,-0.0323902275177318,-0.0317650478154885,0.0612033564597787
"2000-10-31",-0.0757,-0.0622,0.0796,0.0056,0.000377548360648072,-0.0114521300961978,-0.0597048421511949,-0.0629205746061168,0.0805221501390176
"2000-11-30",-0.0303,0.0113,0.0581,0.0051,0.000382527506144426,-0.0160461552330299,-0.00968565164723456,0.0114842785158039,0.0590474851122309
"2000-12-31",-0.0989,-0.0137,0.0779,0.005,0.000390825476227707,-0.0299081766506338,-0.0663555329494091,-0.0141223744703867,0.0803016767330749
"2001-01-31",-0.0079,0.014,-0.0579,0.0054,0.000301167305922556,-0.0175272789758572,0.0149941978012047,0.0142497595102755,-0.0589329339746393
